Employee, Date, Description, Vehicle, Runs, Location, Clock_IN, Vehicle_2, Clock_Out
LL50, 2023/05/10, IT, NONE, 0, HOME, 23:44, NONE, 23:52
TO78, 2023/05/10, DRIVER, VAN, 76, HOME, 23:48, VAN, 23:54
LL50, 2023/05/11, IT, NONE, 0, OFFICE, 13:28,
TT48, 2023/05/11, DRIVER, NONE, 34, ST JOHNS, 14:51,
MT64, 2023/05/11, TESTE, JAM, 444, CANADA, 16:44,
LL50, 2023/05/16, IT, NONE, 0, HOME, 20:03, NONE, 21:42 
LODO, 2023/05/30, IT, NONE, 0, HOME, 13:22,
LL50, 2023/06/06, IT, NONE, 0, HOME, 15:08,
LL50, 2023/06/21, IT, NONE, 0, HOME, 09:51, NONE, 12:37
LL50, 2023/06/22, IT, NONE, 0, OFFICE, 12:38,
LL50, 2023/07/04, IT, NONE, 0, HOME, 14:27, NONE, 17:20
LL50, 2023/07/11, IT, NONE, 0, OFFICE, 14:25,
T731, 2023/07/13, DRIVER, NONE, 0, OFFICE, 14:09,
T485, 2023/07/13, DRIVER, NONE, 76, HOME, 14:50, VAN, 14:51
LL50, 2023/07/13, IT, NONE, 0, HOME, 15:12, NONE, 16:34
LL50, 2023/07/13, IT, NONE, 0, HOME, 17:29, NONE, 17:32
LL50, 2023/07/13, IT, NONE, 0, OFFICE, 17:54, NONE, 17:59
LL50, 2023/07/13, IT, VAN, 0, OFFICE, 18:11, NONE, 18:21
T674, 2023/07/13, IT, NONE, 0, OFFICE, 18:43, NONE, 19:19
LL50, 2023/07/13, IT, NONE, 0, OFFICE, 18:58, NONE, 19:23
LL50, 2023/07/13, DRIVER, VAN, 76, OFFICE, 19:42, NONE, 19:42
